customer_id,orders_placed,products_purchased,amount_spent
11599,3,6,1244.940029144287
2568,4,14,2385.8100395202637
9488,6,17,2699.6700592041016
10039,8,21,4559.51008605957
6983,5,15,3259.7200889587402
4189,3,8,1299.8900260925293
5649,2,4,1099.9400329589844
8136,6,22,4245.480098724365
1549,4,13,2699.7300720214844
5225,6,19,4429.380073547363
10519,6,19,3149.600049972534
7073,3,10,1627.7300186157227
1792,7,22,4212.400089263916
1406,7,11,2601.7600421905518
674,5,18,3457.5000762939453
12256,8,16,4219.620086669922
5261,3,10,1789.8300323486328
4513,5,15,2779.7800521850586
384,5,19,3644.740077972412
210,7,20,3413.550054550171
1104,4,9,2009.7300643920898
5293,11,35,7209.100151062012
6174,4,16,3473.710048675537
6370,7,21,4449.670078277588
8524,10,31,6015.320114135742
8994,6,16,2959.690082550049
3627,4,18,3373.690055847168
11871,3,13,2681.6800575256348
8309,8,20,3729.5800590515137
9068,5,19,3404.5600624084473
9356,7,25,4953.460079193115
11887,9,31,6453.440181732178
488,6,14,2065.680004119873
8667,6,13,2779.7700576782227
11971,5,10,2799.7200622558594
11394,4,11,2209.640033721924
9202,3,7,1764.8800315856934
4759,7,22,3463.510066986084
6747,7,18,3142.670051574707
2979,8,22,4299.500082015991
4422,7,25,4884.420120239258
10071,10,31,5536.42008972168
10667,6,21,3879.5000953674316
9692,8,28,5722.310125350952
8987,8,25,4734.610132217407
6575,3,10,2199.7600479125977
8398,9,25,4969.530132293701
5454,10,30,7279.270130157471
2030,7,14,2669.6500549316406
3945,7,20,4069.5300903320312
8121,3,4,719.8800201416016
3509,6,22,4849.5500831604
4562,7,19,4599.730098724365
4695,6,11,1804.630027770996
8399,5,17,3640.520030975342
8422,7,19,3449.510034561157
12037,4,13,2309.7900581359863
11473,7,26,4543.330093383789
11346,7,22,4149.44002532959
12249,7,20,4075.5800819396973
64,3,7,1404.8700408935547
2238,5,20,2874.680076599121
9264,8,20,3406.590042114258
1206,2,9,1959.8800506591797
2991,3,11,1719.7600288391113
482,11,34,6689.260135650635
2157,9,22,4874.4400806427
7524,3,10,1632.8200187683105
9742,5,15,2871.760051727295
864,6,15,2759.550048828125
8208,5,15,3241.6500663757324
3837,4,13,1684.760051727295
7633,10,36,6468.200136184692
6271,7,15,2559.640048980713
9753,4,10,1799.830020904541
1244,4,8,1109.8600387573242
444,6,18,3559.500099182129
1748,7,21,4387.540084838867
2016,7,27,5384.570116043091
6527,2,7,989.7800102233887
4675,4,12,2311.880048751831
532,6,20,3425.660087585449
12064,9,23,5515.420085906982
2957,3,13,2859.6800651550293
3031,8,24,6159.520133972168
3291,8,20,4549.490074157715
6610,3,7,1064.8800201416016
5460,7,19,3269.4700412750244
3076,2,6,1015.9200325012207
9901,7,20,2867.6300525665283
2487,3,8,1319.860008239746
5098,5,16,2769.7300720214844
10961,8,20,3375.580072402954
4289,7,17,3169.5800552368164
12050,6,16,3054.570011138916
5079,2,9,1919.8500595092773
7623,5,13,2969.6700744628906
5170,3,11,2089.680034637451
5231,5,19,3729.4600715637207
800,4,16,2535.720069885254
11178,6,16,2779.7500762939453
12178,7,26,4447.370079040527
8212,4,11,2101.840063095093
6607,3,6,724.8900108337402
2298,5,22,4839.49010848999
1030,3,8,1589.8300323486328
2850,3,5,859.8400192260742
11352,8,24,4575.670051574707
10235,12,42,8404.220180511475
10885,8,23,4299.370079040527
8767,5,11,2109.670021057129
7952,3,12,2239.6200408935547
5195,2,6,779.9600143432617
593,2,5,1279.9000396728516
3137,5,16,3649.5500679016113
5580,5,13,3517.730094909668
10333,5,13,2369.6700344085693
7639,6,10,1829.6300201416016
6845,5,18,3489.5900688171387
1834,4,13,2679.600051879883
2255,7,23,4539.54009437561
2972,4,13,2459.770050048828
12018,8,19,4422.460067749023
8389,4,9,2249.7900466918945
553,7,17,3659.560070037842
12291,6,21,5189.580127716064
10811,3,12,2149.6400260925293
2844,10,27,5439.440078735352
2715,4,15,2394.780040740967
9452,4,9,1649.770034790039
8567,4,10,2119.6600341796875
10611,4,14,2909.740089416504
7102,6,20,3529.610080718994
8915,7,21,4319.440059661865
478,5,20,3694.5700759887695
6819,5,17,3265.5100708007812
1905,5,18,3179.610080718994
5928,5,12,2299.760036468506
4200,10,33,5436.190101623535
5109,4,11,2040.5900211334229
9310,6,16,1821.7000160217285
3592,2,6,1027.6799926757812
5235,4,8,1489.7400283813477
3880,4,11,1829.590030670166
847,9,31,5260.310104370117
692,3,5,1479.8300476074219
1507,6,15,2993.690082550049
4172,4,10,2054.770046234131
7542,5,19,3049.4900550842285
7815,2,7,1579.8900299072266
8073,2,10,1746.7500228881836
2345,5,14,2485.640037536621
8732,7,21,3739.670082092285
5140,7,22,4291.540105819702
9419,7,23,4219.440065383911
7348,4,13,1454.8100414276123
10880,7,20,3889.64009475708
6571,7,24,4899.4200801849365
3311,6,14,2949.820056915283
8292,4,11,2487.7600593566895
1337,4,12,2389.6300468444824
7736,4,7,1119.900016784668
1153,3,10,2181.820068359375
7546,5,19,3563.580078125
51,7,20,4513.430065155029
11453,5,14,2944.580051422119
7176,8,23,5419.170124053955
1791,3,11,1869.7100448608398
9782,1,4,919.9400253295898
2912,2,5,1049.8400192260742
1008,8,23,4409.690105438232
7372,1,1,399.9599914550781
6946,4,15,3039.5000400543213
9281,5,18,4341.490089416504
8018,9,33,6849.280097961426
11207,2,4,619.9500198364258
9572,5,18,4359.42004776001
7001,9,29,6444.220090866089
2192,10,27,4254.510063171387
4354,8,18,4133.480052947998
4808,4,13,2629.5800743103027
6957,4,16,3869.690071105957
11051,4,8,1309.7300262451172
12434,6,12,3084.780059814453
6663,2,6,1274.8200073242188
2287,4,9,1659.8100280761719
3550,11,32,6767.230129241943
4602,4,10,2029.7400207519531
7678,5,17,2809.6000366210938
2002,6,18,3391.600061416626
10249,3,8,1474.8600482940674
6015,5,15,2869.560028076172
4043,4,12,2264.8300342559814
11651,4,6,1219.8300170898438
1795,7,20,3860.3400688171387
12115,7,23,4269.570087432861
9342,6,11,1644.8300457000732
11093,6,17,2964.6200275421143
3461,6,20,4449.500072479248
614,6,19,4097.370101928711
6415,4,8,1484.640022277832
8357,6,14,2049.700038909912
6949,4,11,2984.75004196167
9412,4,11,2181.770050048828
11516,8,31,5494.2301025390625
9201,6,12,2539.620048522949
2794,3,11,2349.780029296875
10610,8,28,6243.480121612549
7575,9,26,5524.43013381958
11963,4,15,2480.680030822754
11420,7,21,3749.570098876953
3116,2,6,1009.9100189208984
6829,6,19,3789.460090637207
12022,6,18,3249.750072479248
3275,7,16,2839.66007232666
6092,7,24,5654.540130615234
8416,5,11,1809.8100414276123
80,4,11,2259.780040740967
838,6,15,2604.650043487549
4427,7,22,4093.650115966797
5134,5,11,2757.780075073242
6011,5,17,3219.5800437927246
4659,7,27,6459.200084686279
9354,3,11,2059.800022125244
7579,5,11,2905.7000465393066
1266,6,23,4078.390064239502
9924,7,22,4753.490100860596
8425,3,5,719.8900260925293
9371,11,44,9299.030206680298
7776,4,11,1919.820053100586
5965,8,24,5311.460117340088
9598,4,13,2817.7000465393066
7729,5,17,3627.770050048828
1164,6,18,4231.580118179321
6775,4,12,1774.7399940490723
4988,5,17,3385.520092010498
8491,4,14,3119.630069732666
160,4,11,2139.8200492858887
3505,4,6,1037.8900260925293
1702,5,13,2449.690044403076
2118,7,18,3229.650098800659
11439,3,8,2209.770050048828
2234,4,10,1859.7600212097168
6579,6,17,3659.6500511169434
4064,4,12,2844.6300506591797
11555,6,10,2539.6100540161133
1261,10,28,5754.4801597595215
7200,11,35,8229.010204315186
6745,2,6,1269.8300285339355
9348,5,14,2929.580047607422
10056,5,15,2939.630060195923
8880,5,10,2289.7300567626953
1775,7,22,3599.540065765381
6622,4,13,2493.60005569458
9751,3,10,2199.7700424194336
12280,4,11,2739.860061645508
9847,8,23,5115.6200885772705
10607,3,7,1439.8200187683105
7911,2,5,1199.910026550293
7311,2,2,474.95001220703125
3038,9,31,6083.230075836182
7898,6,21,3445.5000801086426
2275,2,4,949.900032043457
11488,4,14,2029.750051498413
2199,4,13,2533.830051422119
1816,5,17,2969.7100791931152
5499,3,7,2009.7600402832031
8633,4,11,2219.7400283813477
9173,3,8,1339.6800155639648
6676,4,11,1907.870044708252
5469,6,19,3564.570068359375
11900,5,11,2365.770030975342
4835,2,4,759.9500274658203
11189,8,25,4589.550132751465
4952,8,19,3389.5500621795654
4783,6,15,3729.660087585449
8592,6,15,3044.650100708008
5431,6,22,4469.3100662231445
773,9,34,7394.190124511719
2824,7,22,5254.410102844238
8178,4,8,1619.8500366210938
430,9,26,4444.450086593628
5537,5,12,2929.5800399780273
8642,5,14,2799.620048522949
889,5,16,2789.720058441162
959,8,21,3559.480052947998
887,4,14,2487.580051422119
6194,6,17,4090.6300926208496
8071,7,26,6069.380107879639
2584,4,10,2609.8100051879883
4267,5,12,2469.760051727295
1970,7,18,3089.6800537109375
4970,3,4,879.8300094604492
1256,3,7,1529.8300552368164
4520,7,22,3878.6300868988037
5659,5,10,1937.7700386047363
293,5,10,2469.7200622558594
11700,6,24,5277.350112915039
2128,6,18,3769.5800437927246
9687,4,14,3329.6100730895996
3896,5,14,3184.6400604248047
9338,6,21,4254.430099487305
4758,7,26,4621.450088500977
4667,9,28,5385.180072784424
3946,5,14,2679.600009918213
88,5,16,2499.6800498962402
11345,2,4,939.8900146484375
10587,4,14,2229.630039215088
4657,7,24,4439.60009765625
3307,3,9,2029.760051727295
7173,4,12,2199.740058898926
5173,11,33,6723.210132598877
8518,8,22,3949.5200538635254
956,8,26,4834.4400844573975
11009,4,10,2699.8100814819336
7840,5,13,3057.640068054199
1482,4,9,1869.8000602722168
4788,5,11,1539.8400402069092
406,5,13,2309.7300338745117
11687,5,12,2145.550012588501
8653,5,16,2967.550022125244
11174,5,14,2689.730052947998
7080,5,14,3029.740093231201
1560,5,19,3789.590087890625
9685,5,14,3239.710048675537
2813,8,26,6929.400150299072
9515,9,21,6689.550086975098
3661,3,12,2224.7900199890137
4918,5,10,2459.790065765381
6287,6,21,4577.3900718688965
8053,5,14,2895.550064086914
2365,9,24,5119.590072631836
5305,4,12,3059.700065612793
8159,4,8,1959.8500518798828
2039,4,10,1709.8300323486328
4110,3,12,2444.6400604248047
347,4,12,2347.630048751831
10269,10,28,4927.250091552734
8000,2,7,1649.8900299072266
3184,8,26,5500.440093994141
6048,5,16,3409.6400756835938
8999,6,22,4677.470096588135
6564,5,12,2829.7000694274902
8038,8,25,4614.470096588135
7951,4,17,3127.5500526428223
4221,5,18,4119.640098571777
9776,4,15,3279.6300926208496
8433,4,13,2929.7100830078125
4600,6,13,2159.7700576782227
10289,6,19,4379.65007019043
9154,6,21,4699.450042724609
11667,8,32,4712.370115280151
6994,2,7,1519.8900337219238
10954,7,24,4649.520088195801
4715,4,14,2404.8000659942627
10214,8,22,3601.5901107788086
1544,10,27,5519.450141906738
3246,5,16,2923.650074005127
12100,6,15,2679.6800422668457
10831,7,27,5912.560121536255
10122,6,18,3684.6300735473633
6093,3,11,1709.7300300598145
10355,6,19,4079.4900665283203
6280,4,15,3374.680076599121
7332,5,18,3459.6700706481934
1761,5,18,3989.6500816345215
9649,5,11,1959.8100318908691
4793,3,11,2744.6800498962402
3838,9,34,5681.210096359253
3239,5,21,4189.670078277588
9410,5,16,3519.6000633239746
5707,7,19,4189.630115509033
11914,5,19,3677.600082397461
9974,7,25,4731.4500732421875
11043,4,14,3109.7600631713867
4800,5,16,3789.4900856018066
1119,5,18,2894.6100158691406
1252,5,21,3093.7000579833984
11087,6,19,3499.6900749206543
5974,5,16,3493.610076904297
3428,9,24,4599.360090255737
654,3,13,2355.6000442504883
3182,7,19,4069.630081176758
2329,6,16,2673.590042114258
11537,3,12,2319.8700561523438
12048,4,10,1814.7400283813477
8721,5,16,2700.6400451660156
12390,3,11,2219.6099967956543
4965,5,17,3329.5600662231445
6459,8,24,5201.460117340088
